2025-01-30 16:17:40,998 - INFO - 程序开始
2025-01-30 16:17:42,315 - INFO - Clicked at coordinates: (1763, 1628)
2025-01-30 16:17:43,930 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:17:45,032 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:17:46,145 - INFO - Clicked at coordinates: (2436, 1814)
2025-01-30 16:17:46,247 - INFO - Clicked at coordinates: (1568, 1628)
2025-01-30 16:17:47,849 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:17:48,951 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:17:50,061 - INFO - Clicked at coordinates: (2436, 1814)
2025-01-30 16:17:50,181 - INFO - Clicked at coordinates: (1373, 1628)
2025-01-30 16:17:51,784 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:17:52,896 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:17:54,013 - INFO - Clicked at coordinates: (2436, 1814)
2025-01-30 16:18:58,480 - INFO - 程序开始
2025-01-30 16:18:59,830 - INFO - Clicked at coordinates: (1763, 1628)
2025-01-30 16:19:01,451 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:19:02,586 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:19:03,700 - INFO - Clicked at coordinates: (2210, 1832)
2025-01-30 16:19:04,802 - INFO - Clicked at coordinates: (1568, 1628)
2025-01-30 16:19:06,405 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:19:07,507 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:19:08,618 - INFO - Clicked at coordinates: (2210, 1832)
2025-01-30 16:28:39,360 - INFO - 程序开始
2025-01-30 16:28:40,685 - INFO - Clicked at coordinates: (1763, 1637)
2025-01-30 16:28:42,326 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:28:43,442 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:28:44,544 - INFO - Clicked at coordinates: (2210, 1832)
2025-01-30 16:28:45,647 - INFO - Clicked at coordinates: (1568, 1637)
2025-01-30 16:28:47,258 - INFO - Clicked at coordinates: (2436, 1814)
2025-01-30 16:28:48,361 - INFO - Clicked at coordinates: (1373, 1637)
2025-01-30 16:28:49,976 - INFO - Clicked at coordinates: (2436, 1814)
2025-01-30 16:28:51,093 - INFO - Clicked at coordinates: (1179, 1637)
2025-01-30 16:28:52,726 - INFO - Clicked at coordinates: (2578, 1776)
2025-01-30 16:28:53,827 - INFO - Clicked at coordinates: (2444, 1673)
2025-01-30 16:28:54,930 - INFO - Clicked at coordinates: (2210, 1832)
